method,p,rep,threshold_pct,n_full,n_sample,rho,rho_tilde,time_total_s,dataset,part
COPOD,0.1,13,0.1,240,24,1.0,0.9313043478260868,0.01218945300206542,vertebral,A
COPOD,0.1,14,0.1,240,24,0.5,0.9165217391304347,0.012408799026161432,vertebral,A
COPOD,0.1,15,0.1,240,24,1.0,0.8886956521739129,0.013752858038060367,vertebral,A
COPOD,0.1,16,0.1,240,24,1.0,0.5843478260869565,0.013726215925998986,vertebral,A
COPOD,0.1,17,0.1,240,24,1.0,0.5669565217391304,0.01177259802352637,vertebral,A
COPOD,0.1,18,0.1,240,24,1.0,0.9069565217391303,0.009004932944662869,vertebral,A
COPOD,0.1,19,0.1,240,24,0.5,0.7017391304347826,0.009234408964402974,vertebral,A
COPOD,0.1,20,0.1,240,24,1.0,0.7747826086956522,0.00801530503667891,vertebral,A
COPOD,0.1,21,0.1,240,24,1.0,0.6547826086956522,0.009457565960474312,vertebral,A
COPOD,0.1,22,0.1,240,24,0.5,0.8904347826086956,0.008123940089717507,vertebral,A
COPOD,0.1,23,0.1,240,24,0.5,0.6608695652173912,0.009422151022590697,vertebral,A
COPOD,0.1,24,0.1,240,24,1.0,0.7695652173913042,0.007440919056534767,vertebral,A
COPOD,0.1,25,0.1,240,24,0.5,0.6608695652173912,0.008628126932308078,vertebral,A
COPOD,0.1,26,0.1,240,24,1.0,0.6878260869565217,0.007607727078720927,vertebral,A
COPOD,0.1,27,0.1,240,24,0.5,0.7956521739130433,0.007721895002759993,vertebral,A
COPOD,0.1,28,0.1,240,24,0.5,0.25478260869565217,0.0074238949455320835,vertebral,A
COPOD,0.1,29,0.1,240,24,0.5,0.9443478260869566,0.007236626115627587,vertebral,A
COPOD,0.1,30,0.1,240,24,1.0,0.9130434782608695,0.0072514129569754004,vertebral,A
COPOD,0.1,31,0.1,240,24,1.0,0.7156521739130434,0.007475294987671077,vertebral,A
COPOD,0.1,32,0.1,240,24,1.0,0.82,0.0074491859413683414,vertebral,A
COPOD,0.1,33,0.1,240,24,1.0,0.886086956521739,0.007397362031042576,vertebral,A
COPOD,0.1,34,0.1,240,24,0.5,0.8547826086956521,0.007389995967969298,vertebral,A
COPOD,0.1,35,0.1,240,24,0.5,0.7826086956521738,0.00757867400534451,vertebral,A
COPOD,0.1,36,0.1,240,24,0.5,0.9399999999999998,0.007580440025776625,vertebral,A
COPOD,0.1,37,0.1,240,24,0.5,0.9278260869565217,0.0076503410236909986,vertebral,A
COPOD,0.1,38,0.1,240,24,0.5,0.82,0.007615145994350314,vertebral,A
COPOD,0.1,39,0.1,240,24,1.0,0.954782608695652,0.007705211988650262,vertebral,A
COPOD,0.1,40,0.1,240,24,1.0,0.8269565217391304,0.0077006020583212376,vertebral,A
COPOD,0.1,41,0.1,240,24,0.5,0.946086956521739,0.00816309405490756,vertebral,A
COPOD,0.1,42,0.1,240,24,0.0,0.7869565217391304,0.00745115801692009,vertebral,A
COPOD,0.1,43,0.1,240,24,1.0,0.8521739130434782,0.007731872028671205,vertebral,A
COPOD,0.1,44,0.1,240,24,1.0,0.9895652173913043,0.00763963395729661,vertebral,A
COPOD,0.1,45,0.1,240,24,0.5,0.7269565217391305,0.007768661016598344,vertebral,A
COPOD,0.1,46,0.1,240,24,1.0,0.8869565217391304,0.007582879974506795,vertebral,A
COPOD,0.1,47,0.1,240,24,1.0,0.9608695652173912,0.007688643992878497,vertebral,A
COPOD,0.1,48,0.1,240,24,1.0,0.7782608695652173,0.007729226956143975,vertebral,A
COPOD,0.1,49,0.1,240,24,1.0,0.5434782608695652,0.007693578023463488,vertebral,A
ECOD,0.1,0,0.1,240,24,0.5,0.9217391304347825,0.009239601087756455,vertebral,A
ECOD,0.1,1,0.1,240,24,1.0,0.868695652173913,0.0076641939813271165,vertebral,A
ECOD,0.1,2,0.1,240,24,1.0,0.8808695652173912,0.007677944027818739,vertebral,A
ECOD,0.1,3,0.1,240,24,0.5,0.76,0.007639931980520487,vertebral,A
ECOD,0.1,4,0.1,240,24,0.5,0.8991304347826086,0.007593346992507577,vertebral,A
ECOD,0.1,5,0.1,240,24,0.5,0.9799999999999999,0.007736623054370284,vertebral,A
ECOD,0.1,6,0.1,240,24,1.0,0.9654272896196059,0.007752991048619151,vertebral,A
ECOD,0.1,7,0.1,240,24,0.5,0.9678260869565216,0.007495128898881376,vertebral,A
ECOD,0.1,8,0.1,240,24,0.5,0.8895652173913042,0.00743493193294853,vertebral,A
ECOD,0.1,9,0.1,240,24,1.0,0.957391304347826,0.007357427035458386,vertebral,A
ECOD,0.1,10,0.1,240,24,0.5,0.8756521739130434,0.0075394699815660715,vertebral,A
ECOD,0.1,11,0.1,240,24,0.5,0.8732333322325083,0.007502109976485372,vertebral,A
ECOD,0.1,12,0.1,240,24,0.5,0.9469565217391304,0.007517039077356458,vertebral,A
ECOD,0.1,13,0.1,240,24,0.5,0.9078260869565216,0.007744863047264516,vertebral,A
ECOD,0.1,14,0.1,240,24,1.0,0.9695652173913042,0.007538157980889082,vertebral,A
ECOD,0.1,15,0.1,240,24,1.0,0.9321152355267918,0.00749448302667588,vertebral,A
ECOD,0.1,16,0.1,240,24,1.0,0.9286956521739129,0.0076886629685759544,vertebral,A
ECOD,0.1,17,0.1,240,24,1.0,0.9608695652173912,0.007456091931089759,vertebral,A
ECOD,0.1,18,0.1,240,24,0.0,0.9469565217391304,0.007958898902870715,vertebral,A
ECOD,0.1,19,0.1,240,24,0.5,0.8895652173913042,0.007942917058244348,vertebral,A
ECOD,0.1,20,0.1,240,24,1.0,0.9469565217391304,0.007754647987894714,vertebral,A
ECOD,0.1,21,0.1,240,24,0.5,0.6469565217391303,0.008358602994121611,vertebral,A
ECOD,0.1,22,0.1,240,24,1.0,0.9182608695652172,0.007941714022308588,vertebral,A
ECOD,0.1,23,0.1,240,24,0.5,0.9090909950911045,0.008632726967334747,vertebral,A
ECOD,0.1,24,0.1,240,24,1.0,0.7113043478260868,0.008490524953231215,vertebral,A
ECOD,0.1,25,0.1,240,24,0.5,0.9321739130434782,0.01026857306715101,vertebral,A
ECOD,0.1,26,0.1,240,24,0.5,0.9191304347826086,0.008089536102488637,vertebral,A
ECOD,0.1,27,0.1,240,24,1.0,0.8782608695652172,0.008238691021688282,vertebral,A
