method,p,K,rep,n_full,n_sample_target,n_sample_actual,rho_srs,rho_tilde_srs,rho_cluster,rho_tilde_cluster,rho_icc,deff,time_total_s,error,dataset,tier,method_class
ThreeSigma,0.05,10,17,7200,360,360.0,0.9166666666666666,0.9783005191286425,0.8888888888888888,0.9921954883332956,0.9750830646994261,35.127907264479916,0.40559579199180007,,annthyroid,T2,I
ThreeSigma,0.05,10,18,7200,360,360.0,0.9166666666666666,0.9908178686953386,0.9863013698630136,0.9975255010489533,0.9750781199962333,35.127734199868165,0.37514540198026225,,annthyroid,T2,I
ThreeSigma,0.05,10,19,7200,360,360.0,0.9722222222222222,0.9886983935338776,0.9722222222222222,0.9939184700492203,0.9752328010097959,35.133148035342856,0.5844992880010977,,annthyroid,T2,I
ThreeSigma,0.05,10,20,7200,360,360.0,0.8767123287671232,0.9869458226594253,1.0,0.9977422136725795,0.975008873310052,35.12531056585182,0.37302679201820865,,annthyroid,T2,I
ThreeSigma,0.05,10,21,7200,360,360.0,0.9166666666666666,0.9854423853302293,0.9166666666666666,0.9888980344071249,0.9752168643033466,35.132590250617135,0.37087799597065896,,annthyroid,T2,I
ThreeSigma,0.05,10,22,7200,360,360.0,0.9041095890410958,0.9879970360576065,0.958904109589041,0.9888721481539792,0.9748046545705223,35.118162909968284,0.38698935095453635,,annthyroid,T2,I
ThreeSigma,0.05,10,23,7200,360,360.0,0.9166666666666666,0.9896213961877993,1.0,0.9976274942905384,0.9752203583567144,35.132712542485,0.3553231499972753,,annthyroid,T2,I
ThreeSigma,0.05,10,24,7200,360,360.0,0.9444444444444444,0.9922975122064059,0.9444444444444444,0.9956726461464978,0.9752451327033156,35.13357964461605,0.51121081400197,,annthyroid,T2,I
ThreeSigma,0.05,10,25,7200,360,360.0,0.8493150684931506,0.9860706852214729,0.9722222222222222,0.9961594936449163,0.9752233034024428,35.1328156190855,0.3327335069770925,,annthyroid,T2,I
ThreeSigma,0.05,10,26,7200,360,360.0,0.9166666666666666,0.9862030942008122,0.9722222222222222,0.9943630732562898,0.9752250945646939,35.13287830976429,0.4149838400189765,,annthyroid,T2,I
ThreeSigma,0.05,10,27,7200,360,360.0,0.8888888888888888,0.9809417667592846,0.9041095890410958,0.994723175387482,0.9749797742728621,35.124292099550175,0.3768086649943143,,annthyroid,T2,I
ThreeSigma,0.05,10,28,7200,360,360.0,0.9166666666666666,0.9803667353104178,0.9444444444444444,0.9933498481086965,0.9749768063805018,35.12418822331756,0.3142568269977346,,annthyroid,T2,I
ThreeSigma,0.05,10,29,7200,360,360.0,0.9166666666666666,0.9918916390186125,0.9166666666666666,0.9852033970249431,0.9752459256684634,35.133607398396215,0.6108541630092077,,annthyroid,T2,I
ThreeSigma,0.1,10,0,7200,720,720.0,0.9523809523809523,0.9930938358898216,0.9583333333333334,0.9972008861141509,0.951425535557093,68.5512130245536,0.3753694490296766,,annthyroid,T2,I
ThreeSigma,0.1,10,1,7200,720,720.0,0.9722222222222222,0.9959861243926278,0.9305555555555556,0.99489347370092,0.9519812136393179,68.59066616839156,0.5191098419600166,,annthyroid,T2,I
ThreeSigma,0.1,10,2,7200,720,720.0,0.9379310344827586,0.9957781238613055,0.9261744966442953,0.9964177048589491,0.9519142409359799,68.58591110645457,0.378566095023416,,annthyroid,T2,I
ThreeSigma,0.1,10,3,7200,720,720.0,0.9115646258503401,0.9860000415890049,0.9305555555555556,0.997592298783971,0.9515192910908471,68.55786966745015,0.447884899971541,,annthyroid,T2,I
ThreeSigma,0.1,10,4,7200,720,720.0,0.8843537414965986,0.9768008321404228,0.9379310344827586,0.9967550530457224,0.9515046235721084,68.5568282736197,0.4377762560034171,,annthyroid,T2,I
ThreeSigma,0.1,10,5,7200,720,720.0,0.9795918367346939,0.9975962233659176,0.9655172413793104,0.9970911733483167,0.9515871825410388,68.56268996041375,0.3282786419731565,,annthyroid,T2,I
ThreeSigma,0.1,10,6,7200,720,720.0,0.9379310344827586,0.9899898040707954,0.9861111111111112,0.9963331961828658,0.9518740698101372,68.58305895651975,0.4400152890011668,,annthyroid,T2,I
ThreeSigma,0.1,10,7,7200,720,720.0,0.9166666666666666,0.9879055772662113,0.9379310344827586,0.9931755895674791,0.9519423080195094,68.58790386938517,0.4238154480117373,,annthyroid,T2,I
ThreeSigma,0.1,10,8,7200,720,720.0,0.9452054794520548,0.9911747969296636,0.9583333333333334,0.9971425458019354,0.9519189179528117,68.58624317464962,0.4581029339460656,,annthyroid,T2,I
ThreeSigma,0.1,10,9,7200,720,720.0,0.9379310344827586,0.9977198327204203,0.9027777777777778,0.9884478412088039,0.9518833785937977,68.58371988015963,0.36889474000781775,,annthyroid,T2,I
ThreeSigma,0.1,10,10,7200,720,720.0,0.9861111111111112,0.9974671088964709,0.9583333333333334,0.991223417719991,0.9519297068271775,68.5870091847296,0.4237545010400936,,annthyroid,T2,I
ThreeSigma,0.1,10,11,7200,720,720.0,0.9444444444444444,0.9926706862828019,0.9379310344827586,0.9949330629889186,0.9519055917051099,68.5852970110628,0.45165521395392716,,annthyroid,T2,I
ThreeSigma,0.1,10,12,7200,720,720.0,0.9166666666666666,0.9912717479676311,0.9795918367346939,0.9969918662452751,0.951841489101266,68.58074572618989,0.3489813019987196,,annthyroid,T2,I
ThreeSigma,0.1,10,13,7200,720,720.0,0.9178082191780822,0.9836075820215474,0.9793103448275862,0.9926503456337019,0.9519272878113672,68.58683743460706,0.5070823439746164,,annthyroid,T2,I
ThreeSigma,0.1,10,14,7200,720,720.0,0.9166666666666666,0.9863612899572365,0.9655172413793104,0.997664212946012,0.9514969853944909,68.55628596300886,0.33525308803655207,,annthyroid,T2,I
