method,p,rep,n_full,n_sample,rho_srs,rho_tilde_srs,rho_str,rho_tilde_str,rho_str_km,rho_tilde_str_km,time_total_s,error,dataset,tier,method_class
BoxPlot,0.05,8,7200,360,0.8888888888888888,0.9534749596359894,0.8888888888888888,0.9432847641297197,1.0,0.9920457886157532,0.5906426889705472,,annthyroid,T2,I
BoxPlot,0.05,9,7200,360,0.9722222222222222,0.9697293135380393,0.9722222222222222,0.9923715208700885,0.8493150684931506,0.9156487388237695,0.47518050199141726,,annthyroid,T2,I
BoxPlot,0.05,10,7200,360,0.9444444444444444,0.9189437010256143,0.9459459459459459,0.9435326802435474,0.9315068493150684,0.9607913596353762,0.5380440760054626,,annthyroid,T2,I
BoxPlot,0.05,11,7200,360,0.958904109589041,0.9080217912333536,0.9722222222222222,0.9483710443235142,0.9722222222222222,0.963604716703191,0.7309103810111992,,annthyroid,T2,I
BoxPlot,0.05,12,7200,360,0.9166666666666666,0.9728508500776899,0.9444444444444444,0.9557364610205251,0.9444444444444444,0.9162952509952466,0.43036582198692486,,annthyroid,T2,I
BoxPlot,0.05,13,7200,360,0.9863013698630136,0.9818559049625822,0.9041095890410958,0.9291685094258249,0.8333333333333334,0.88719783885029,0.38017788500292227,,annthyroid,T2,I
BoxPlot,0.05,14,7200,360,0.9722222222222222,0.9433625155267588,0.9166666666666666,0.9325479387604837,0.8888888888888888,0.9319969506643938,0.5987590640434064,,annthyroid,T2,I
BoxPlot,0.05,15,7200,360,0.9459459459459459,0.9687295660082685,0.9166666666666666,0.9391046296731552,0.9722222222222222,0.9769227935692659,0.91442232002737,,annthyroid,T2,I
BoxPlot,0.05,16,7200,360,0.8888888888888888,0.9799245542159893,0.9444444444444444,0.9288386634852517,0.9166666666666666,0.9166415103814475,0.4365313629969023,,annthyroid,T2,I
BoxPlot,0.05,17,7200,360,0.958904109589041,0.9492908685729259,0.9722222222222222,0.9750952613903503,0.8493150684931506,0.8772231341494824,0.6884576419834048,,annthyroid,T2,I
BoxPlot,0.05,18,7200,360,0.9444444444444444,0.9153186369353188,0.9722222222222222,0.9237833663217005,0.9315068493150684,0.9411192882027247,1.0427581969997846,,annthyroid,T2,I
BoxPlot,0.05,19,7200,360,0.8888888888888888,0.9333222195129145,0.8333333333333334,0.9085298262880412,0.9166666666666666,0.9878614946816823,0.8154248739592731,,annthyroid,T2,I
BoxPlot,0.05,20,7200,360,0.9722222222222222,0.937490416222814,0.8493150684931506,0.8468291039247454,0.9444444444444444,0.9121298910846063,0.44889435899676755,,annthyroid,T2,I
BoxPlot,0.05,21,7200,360,0.9166666666666666,0.9291951876957034,0.9444444444444444,0.9188705403793709,0.9722222222222222,0.9220240794238249,0.8875632199924439,,annthyroid,T2,I
BoxPlot,0.05,22,7200,360,0.972972972972973,0.9768762101634783,1.0,0.9686510714675809,0.9444444444444444,0.9463507913991053,0.8721618229756132,,annthyroid,T2,I
BoxPlot,0.05,23,7200,360,0.9066666666666666,0.8750896021443327,0.9722222222222222,0.9917451067269063,0.8611111111111112,0.9234670764768379,0.7653334100032225,,annthyroid,T2,I
BoxPlot,0.05,24,7200,360,0.8888888888888888,0.9682038283462865,0.9166666666666666,0.8973734182910534,0.9863013698630136,0.9764212945131219,0.48648529197089374,,annthyroid,T2,I
BoxPlot,0.05,25,7200,360,0.9444444444444444,0.9570367668559234,0.9722222222222222,0.9731098145860176,0.8918918918918919,0.9204184388219167,0.7538566059665754,,annthyroid,T2,I
BoxPlot,0.05,26,7200,360,0.9444444444444444,0.9677745384209157,0.8888888888888888,0.9809259239891478,0.958904109589041,0.9621080409516062,0.7134655049885623,,annthyroid,T2,I
BoxPlot,0.05,27,7200,360,0.9444444444444444,0.9666466091226001,0.9166666666666666,0.9479187335683366,0.9722222222222222,0.9751533919986114,0.1739645860507153,,annthyroid,T2,I
BoxPlot,0.05,28,7200,360,0.9166666666666666,0.9520108168082757,0.9863013698630136,0.8696899955408205,0.958904109589041,0.9764303301917316,0.841449424973689,,annthyroid,T2,I
BoxPlot,0.05,29,7200,360,0.9315068493150684,0.9362611710818317,1.0,0.9816261105300175,0.958904109589041,0.9455615431369538,0.301065213046968,,annthyroid,T2,I
BoxPlot,0.1,0,7200,720,0.9027777777777778,0.917255570386647,0.9379310344827586,0.9783902882137934,0.9793103448275862,0.9323217022463383,0.9576741550117731,,annthyroid,T2,I
BoxPlot,0.1,1,7200,720,0.9241379310344827,0.970293556698793,0.9722222222222222,0.9840592546787329,0.9379310344827586,0.9824766622389336,0.9629508980433457,,annthyroid,T2,I
