method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset,part,n_vs_psi
MAD,0.05,23,5000,250,1.0,0.9597706345248027,0.0047042639926075935,0.000490577076561749,0.006364378961734474,pendigits,A,
MAD,0.05,24,5000,250,1.0,0.9762184163957341,0.004926346009597182,0.000665060942992568,0.007334506022743881,pendigits,A,
MAD,0.05,25,5000,250,1.0,0.9660113540279195,0.004673457937315106,0.0006152119021862745,0.006692460039630532,pendigits,A,
MAD,0.05,26,5000,250,1.0,0.9345871784236741,0.004767314996570349,0.0005590768996626139,0.006654401076957583,pendigits,A,
MAD,0.05,27,5000,250,1.0,0.8968327066814054,0.004785679979249835,0.0004995999624952674,0.006416353979147971,pendigits,A,
MAD,0.05,28,5000,250,1.0,0.9300126998181785,0.004594139056280255,0.0005566979525610805,0.0063750200206413865,pendigits,A,
MAD,0.05,29,5000,250,1.0,0.9811498645628043,0.0041778909508138895,0.0004707450279965997,0.005761824082583189,pendigits,A,
MAD,0.1,0,5000,500,1.0,0.9758635186649182,0.005974148982204497,0.0009821760468184948,0.008559270994737744,pendigits,A,
MAD,0.1,1,5000,500,1.0,0.9683427730657994,0.004823600058443844,0.0007905859965831041,0.0068849759409204125,pendigits,A,
MAD,0.1,2,5000,500,1.0,0.9774449269339375,0.004866000963374972,0.0006984591018408537,0.0071734500816091895,pendigits,A,
MAD,0.1,3,5000,500,0.98,0.9772440783414453,0.0048911659978330135,0.0007795559940859675,0.006988308974541724,pendigits,A,
MAD,0.1,4,5000,500,1.0,0.9612965461750896,0.004675365053117275,0.0007432299898937345,0.006806162069551647,pendigits,A,
MAD,0.1,5,5000,500,0.9,0.9526816267763978,0.005000449949875474,0.0008172140223905444,0.007681358023546636,pendigits,A,
MAD,0.1,6,5000,500,1.0,0.9734271939155019,0.004985671956092119,0.0008339770138263702,0.007270348025485873,pendigits,A,
MAD,0.1,7,5000,500,0.92,0.9342396630709898,0.004928701091557741,0.0008225049823522568,0.007220397004857659,pendigits,A,
MAD,0.1,8,5000,500,1.0,0.9597712748275461,0.004687622073106468,0.0007767999777570367,0.006922320928424597,pendigits,A,
MAD,0.1,9,5000,500,1.0,0.9809263734346076,0.005465432070195675,0.0009810799965634942,0.00789579504635185,pendigits,A,
MAD,0.1,10,5000,500,0.9,0.9137267443973874,0.004416341078467667,0.0007081310031935573,0.0064185140654444695,pendigits,A,
MAD,0.1,11,5000,500,1.0,0.990110433536916,0.0045056159142404795,0.0007745820330455899,0.006590715958736837,pendigits,A,
MAD,0.1,12,5000,500,0.86,0.9368013021604122,0.004926119931042194,0.0010025770170614123,0.007353540044277906,pendigits,A,
MAD,0.1,13,5000,500,1.0,0.9810466769030464,0.004621000960469246,0.0007335260743275285,0.006796716013923287,pendigits,A,
MAD,0.1,14,5000,500,1.0,0.9808296678209416,0.004122789949178696,0.0006075160345062613,0.005871228058822453,pendigits,A,
MAD,0.1,15,5000,500,0.88,0.9091762680358447,0.004193936940282583,0.0008095329394564033,0.006276414962485433,pendigits,A,
MAD,0.1,16,5000,500,1.0,0.9941133321895931,0.004658824997022748,0.0007355540292337537,0.006728547043167055,pendigits,A,
MAD,0.1,17,5000,500,1.0,0.9851443293147307,0.004792556050233543,0.0008105720626190305,0.006982618011534214,pendigits,A,
MAD,0.1,18,5000,500,1.0,0.9578731082870503,0.004646181012503803,0.0007276799296960235,0.0066715499851852655,pendigits,A,
MAD,0.1,19,5000,500,0.82,0.9223341704896474,0.004514063009992242,0.0007119050715118647,0.006737697054632008,pendigits,A,
MAD,0.1,20,5000,500,0.98,0.9649051699477758,0.004777997033670545,0.0007934339810162783,0.006859212066046894,pendigits,A,
MAD,0.1,21,5000,500,1.0,0.9841798351682775,0.006032100063748658,0.0008749238913878798,0.008130001020617783,pendigits,A,
MAD,0.1,22,5000,500,1.0,0.9826619662977952,0.00455635495018214,0.0008114411029964685,0.006831521983258426,pendigits,A,
MAD,0.1,23,5000,500,1.0,0.9728820954986968,0.005100734066218138,0.0009267650311812758,0.007642450975254178,pendigits,A,
MAD,0.1,24,5000,500,1.0,0.9443933495981507,0.004879915970377624,0.0008716080337762833,0.0075697998981922865,pendigits,A,
MAD,0.1,25,5000,500,1.0,0.9631454233520881,0.004710415028966963,0.0007670610211789608,0.006801276933401823,pendigits,A,
