method,method_class,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset
ChiSquare,I,0.01,9,286048,2860,0.986013986013986,0.9990554499603902,0.05460430192761123,0.0021465360186994076,0.05460430192761123,0.05945694399997592,covertype
ChiSquare,I,0.05,0,286048,14302,0.9902097902097902,0.9998317869910474,0.0587998500559479,0.01040470798034221,0.0587998500559479,0.07426708191633224,covertype
ChiSquare,I,0.05,1,286048,14302,0.9944055944055944,0.9998203911192242,0.045640271971933544,0.006664166925475001,0.045640271971933544,0.056799810961820185,covertype
ChiSquare,I,0.05,2,286048,14302,0.9874125874125874,0.9997120348638939,0.0419823219999671,0.006552778999321163,0.0419823219999671,0.053186565986834466,covertype
ChiSquare,I,0.05,3,286048,14302,0.993006993006993,0.999886530325087,0.04768313106615096,0.007312210043892264,0.04768313106615096,0.06116147805005312,covertype
ChiSquare,I,0.05,4,286048,14302,0.9923076923076923,0.9999017491864661,0.0533144649816677,0.011852134950459003,0.0533144649816677,0.07351212704088539,covertype
ChiSquare,I,0.05,5,286048,14302,0.986013986013986,0.9998394468798895,0.09699874697253108,0.01747605693526566,0.09699874697253108,0.12309960997663438,covertype
ChiSquare,I,0.05,6,286048,14302,0.993006993006993,0.9998779869078817,0.2361884000711143,0.027932071941904724,0.2361884000711143,0.28185380692593753,covertype
ChiSquare,I,0.05,7,286048,14302,0.9818181818181818,0.9997366629175788,0.08485705207567662,0.016874594963155687,0.08485705207567662,0.12830903206486255,covertype
ChiSquare,I,0.05,8,286048,14302,0.9902097902097902,0.9998634641483232,0.06415295391343534,0.014544484089128673,0.06415295391343534,0.08738968998659402,covertype
ChiSquare,I,0.05,9,286048,14302,0.9916083916083916,0.9998633360360542,0.06625497492495924,0.010109991999343038,0.06625497492495924,0.08264362206682563,covertype
ChiSquare,I,0.1,0,286048,28604,0.9972027972027973,0.9999621090260774,0.050538159906864166,0.01835311099421233,0.050538159906864166,0.08045758202206343,covertype
ChiSquare,I,0.1,1,286048,28604,0.9926573426573426,0.9998603422788166,0.045182610978372395,0.014608053956180811,0.045182610978372395,0.07020229892805219,covertype
ChiSquare,I,0.1,2,286048,28604,0.9954545454545455,0.9999447763061707,0.051340671023353934,0.015985072939656675,0.051340671023353934,0.07872240897268057,covertype
ChiSquare,I,0.1,3,286048,28604,0.9933566433566433,0.9999633437761578,0.06428187002893537,0.037434114958159626,0.06428187002893537,0.13280963792931288,covertype
ChiSquare,I,0.1,4,286048,28604,0.9958041958041958,0.9999423177628456,0.20080288499593735,0.0470643350854516,0.20080288499593735,0.2667771549895406,covertype
ChiSquare,I,0.1,5,286048,28604,0.9951048951048951,0.9999566058776879,0.10551110992673784,0.025639708968810737,0.10551110992673784,0.17707414994947612,covertype
ChiSquare,I,0.1,6,286048,28604,0.9898601398601399,0.9999056555357915,0.061797298956662416,0.01956625794991851,0.061797298956662416,0.10575269197579473,covertype
ChiSquare,I,0.1,7,286048,28604,0.9888111888111888,0.9998262011258077,0.06392450095154345,0.01958558999467641,0.06392450095154345,0.09480659698601812,covertype
ChiSquare,I,0.1,8,286048,28604,0.9933566433566433,0.9998983088533143,0.04719445202499628,0.014869329985231161,0.04719445202499628,0.07265155098866671,covertype
ChiSquare,I,0.1,9,286048,28604,0.9919580419580419,0.9999536272828272,0.04717149503994733,0.013931900961324573,0.04717149503994733,0.07197872910182923,covertype
COPOD,II,0.01,0,286048,2860,0.9685314685314685,0.9994623793075523,9.107501312042587,0.06349631701596081,9.107501312042587,9.17793750797864,covertype
COPOD,II,0.01,1,286048,2860,0.9685314685314685,0.9990426151971233,7.216964034945704,0.1937707089819014,7.216964034945704,7.4150943289278075,covertype
COPOD,II,0.01,2,286048,2860,0.972027972027972,0.9990021939771309,7.2901690129656345,0.04718483402393758,7.2901690129656345,7.3395157760242,covertype
COPOD,II,0.01,3,286048,2860,0.972027972027972,0.9989949068724201,7.067914769053459,0.030431205057539046,7.067914769053459,7.09991786594037,covertype
COPOD,II,0.01,4,286048,2860,0.9615384615384616,0.9993715079935563,7.9131608250318095,0.0373182330513373,7.9131608250318095,7.952679260983132,covertype
COPOD,II,0.01,5,286048,2860,0.9825174825174825,0.9995033929959344,7.980542448000051,0.0470580899855122,7.980542448000051,8.030768834985793,covertype
COPOD,II,0.01,6,286048,2860,0.972027972027972,0.9993153312180808,7.162555824965239,0.06182828999590129,7.162555824965239,7.227364963036962,covertype
COPOD,II,0.01,7,286048,2860,0.972027972027972,0.9985800676875384,7.1747642130358145,0.2786146899452433,7.1747642130358145,7.461565718986094,covertype
