method,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset,tier,method_class
ThreeSigma,0.1,24,240,24,1.0,0.6643478260869564,0.00010524597018957138,8.168601198121905e-05,3.167096292600036e-05,0.0010629090247675776,vertebral,T1,I
ThreeSigma,0.1,25,240,24,0.0,0.8191304347826085,8.183298632502556e-05,6.592099089175463e-05,2.871599281206727e-05,0.0016822059988044202,vertebral,T1,I
ThreeSigma,0.1,26,240,24,0.5,0.9434782608695651,0.00013007200323045254,8.139695273712277e-05,3.9762991946190596e-05,0.0013006650260649621,vertebral,T1,I
ThreeSigma,0.1,27,240,24,0.5,0.9034782608695651,0.00010356900747865438,7.793901022523642e-05,3.444304456934333e-05,0.0011829010327346623,vertebral,T1,I
ThreeSigma,0.1,28,240,24,0.5,0.8434782608695651,0.00011009594891220331,8.840800728648901e-05,3.573001595214009e-05,0.0012592680286616087,vertebral,T1,I
ThreeSigma,0.1,29,240,24,0.5,0.9295652173913044,0.00011023296974599361,8.797599002718925e-05,3.735697828233242e-05,0.0012091519893147051,vertebral,T1,I
ThreeSigma,0.1,30,240,24,0.5,0.8991304347826086,9.760999819263816e-05,7.517304038628936e-05,3.260199446231127e-05,0.002134711015969515,vertebral,T1,I
ThreeSigma,0.1,31,240,24,0.5,0.8227875819640965,0.00011157197877764702,8.717598393559456e-05,3.7642952520400286e-05,0.0012997390003874898,vertebral,T1,I
ThreeSigma,0.1,32,240,24,0.5,0.8617391304347826,0.00010671699419617653,9.439396671950817e-05,3.682798705995083e-05,0.0023523999843746424,vertebral,T1,I
ThreeSigma,0.1,33,240,24,1.0,0.9739130434782608,0.00012651103315874934,8.004601113498211e-05,3.578397445380688e-05,0.0012657450279220939,vertebral,T1,I
ThreeSigma,0.1,34,240,24,1.0,0.8504347826086956,0.00011793698649853468,9.501999011263251e-05,3.7228979635983706e-05,0.0012597920140251517,vertebral,T1,I
ThreeSigma,0.1,35,240,24,1.0,0.8869565217391304,0.00010561500675976276,7.551198359578848e-05,3.330502659082413e-05,0.0011901070247404277,vertebral,T1,I
ThreeSigma,0.1,36,240,24,1.0,0.9504132231404958,0.00010948698036372662,8.628395153209567e-05,3.882101736962795e-05,0.0012821700074709952,vertebral,T1,I
ThreeSigma,0.1,37,240,24,0.5,0.9078260869565216,9.797402890399098e-05,8.004502160474658e-05,3.362499410286546e-05,0.001189674949273467,vertebral,T1,I
ThreeSigma,0.1,38,240,24,1.0,0.9052173913043478,0.004763002973049879,8.320703636854887e-05,4.2604049667716026e-05,0.00619467900833115,vertebral,T1,I
ThreeSigma,0.1,39,240,24,0.5,0.8973913043478261,0.00010413897689431906,8.219201117753983e-05,3.6460987757891417e-05,0.0028347040060907602,vertebral,T1,I
ThreeSigma,0.1,40,240,24,0.5,0.9634782608695651,0.00010418501915410161,7.872103014960885e-05,3.415200626477599e-05,0.008813860011287034,vertebral,T1,I
ThreeSigma,0.1,41,240,24,1.0,0.8965217391304346,0.00019552605226635933,0.0001019370392896235,7.588200969621539e-05,0.0015075550181791186,vertebral,T1,I
ThreeSigma,0.1,42,240,24,1.0,0.9513043478260867,0.00011343997903168201,9.179202606901526e-05,3.917602589353919e-05,0.0013843639753758907,vertebral,T1,I
ThreeSigma,0.1,43,240,24,1.0,0.9486956521739129,0.00012134097050875425,9.894202230498195e-05,4.1783961933106184e-05,0.0014214219991117716,vertebral,T1,I
ThreeSigma,0.1,44,240,24,0.5,0.8660869565217391,0.00014291901607066393,9.568699169903994e-05,4.4486019760370255e-05,0.0012961950269527733,vertebral,T1,I
ThreeSigma,0.1,45,240,24,0.5,0.9478260869565217,0.00010960001964122057,0.0004056930192746222,0.004460512020159513,0.006547519005835056,vertebral,T1,I
ThreeSigma,0.1,46,240,24,0.5,0.96,0.00012372899800539017,8.872197940945625e-05,3.682199167087674e-05,0.001264444028493017,vertebral,T1,I
ThreeSigma,0.1,47,240,24,0.5,0.7999999999999999,0.00010146497515961528,8.458999218419194e-05,3.294198540970683e-05,0.0011654429836198688,vertebral,T1,I
ThreeSigma,0.1,48,240,24,0.5,0.8791304347826084,0.00010373996337875724,8.816400077193975e-05,3.980501787737012e-05,0.0012464260216802359,vertebral,T1,I
ThreeSigma,0.1,49,240,24,0.5,0.5973913043478261,0.00010293896775692701,8.076196536421776e-05,3.4883967600762844e-05,0.0012500809971243143,vertebral,T1,I
BoxPlot,0.1,0,240,24,0.5,0.5872202195147035,0.0005727119860239327,0.00038330000825226307,8.826400153338909e-05,0.002115085022523999,vertebral,T1,I
BoxPlot,0.1,1,240,24,0.15384615384615385,0.4978213403988642,0.0005272190319374204,0.0003693309845402837,0.00013054499868303537,0.0022520439815707505,vertebral,T1,I
BoxPlot,0.1,2,240,24,0.5,0.5,0.00041831500129774213,0.00032818899489939213,6.355298683047295e-05,0.0018101899768225849,vertebral,T1,I
