method,k,p,kp_inv_sqrt,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset
LOF,10,0.05,1.414213562373095,13,214,12,1.0,0.5562503628141595,0.005128763034008443,0.01308550895191729,0.019522098009474576,glass
LOF,10,0.05,1.414213562373095,14,214,12,0.0,0.03988125810966205,0.005480851978063583,0.0075175740057602525,0.014125853078439832,glass
LOF,10,0.05,1.414213562373095,15,214,12,0.0,-0.12188729540778229,0.005062613054178655,0.006277696928009391,0.01243920298293233,glass
LOF,10,0.05,1.414213562373095,16,214,12,1.0,0.45327026674113163,0.004971069050952792,0.010617497959174216,0.01683402806520462,glass
LOF,10,0.05,1.414213562373095,17,214,12,0.0,0.4310705415312096,0.005307137966156006,0.011272290023043752,0.017882860964164138,glass
LOF,10,0.05,1.414213562373095,18,214,12,0.0,-0.09178948540071956,0.005443395930342376,0.005867338040843606,0.012478147051297128,glass
LOF,10,0.05,1.414213562373095,19,214,12,0.0,0.44099903877530217,0.005461446940898895,0.007105811964720488,0.013627790962345898,glass
LOF,10,0.05,1.414213562373095,20,214,12,0.0,-0.1455608991839577,0.004983964026905596,0.007617798983119428,0.013803411042317748,glass
LOF,10,0.05,1.414213562373095,21,214,12,0.0,0.23380097167794414,0.005537918070331216,0.004691476002335548,0.011435517924837768,glass
LOF,10,0.05,1.414213562373095,22,214,12,0.0,-0.2755432378485742,0.005203812033869326,0.005273617920465767,0.011632408015429974,glass
LOF,10,0.05,1.414213562373095,23,214,12,0.0,0.06238397561473254,0.005136975087225437,0.009671648032963276,0.015933327027596533,glass
