method,k,p,kp_inv_sqrt,rep,n_full,n_sample,rho,rho_tilde,time_fit_s,time_score_s,time_total_s,dataset
LOF,5,0.1,1.414213562373095,9,214,21,0.5,0.28441558441558445,0.004583361092954874,0.002610473078675568,0.008350783959031105,glass
LOF,5,0.1,1.414213562373095,10,214,21,0.0,0.3171922209561704,0.004880485939793289,0.0028452250408008695,0.008991598035208881,glass
LOF,5,0.1,1.414213562373095,11,214,21,0.0,0.5099058404689213,0.004860040964558721,0.002823718939907849,0.008945156005211174,glass
LOF,5,0.1,1.414213562373095,12,214,21,0.5,0.285807095294682,0.005008061998523772,0.0028926649829372764,0.00916955596767366,glass
LOF,5,0.1,1.414213562373095,13,214,21,0.5,0.3077922077922078,0.00499511999078095,0.0025435329880565405,0.008607698953710496,glass
LOF,5,0.1,1.414213562373095,14,214,21,0.5,0.24155844155844156,0.004433942027390003,0.002440948039293289,0.007948594051413238,glass
LOF,5,0.1,1.414213562373095,15,214,21,1.0,0.5177005794315035,0.004566019983030856,0.0024690040154382586,0.008085894980467856,glass
LOF,5,0.1,1.414213562373095,16,214,21,0.0,0.4276895110433609,0.00437163608148694,0.0023737680166959763,0.007789298077113926,glass
LOF,5,0.1,1.414213562373095,17,214,21,1.0,0.3232524598488645,0.0044044890673831105,0.002401949022896588,0.007843106053769588,glass
LOF,5,0.1,1.414213562373095,18,214,21,0.5,0.47922077922077916,0.004507781006395817,0.0029167749453336,0.008551022037863731,glass
LOF,5,0.1,1.414213562373095,19,214,21,0.5,0.327485449249866,0.0048447990557178855,0.0025724179577082396,0.008555070962756872,glass
LOF,5,0.1,1.414213562373095,20,214,21,1.0,0.17945398788055328,0.0044500710209831595,0.002511145081371069,0.008069331990554929,glass
LOF,5,0.1,1.414213562373095,21,214,21,0.5,0.31113999692307426,0.004513092921115458,0.0025887300726026297,0.008291329024359584,glass
LOF,5,0.1,1.414213562373095,22,214,21,0.5,0.4825593475880763,0.0049115369329229,0.002921522012911737,0.00907352298963815,glass
LOF,5,0.1,1.414213562373095,23,214,21,0.5,0.03511056284619521,0.004895001067779958,0.003543261089362204,0.009587754961103201,glass
LOF,5,0.1,1.414213562373095,24,214,21,0.0,0.2729656174937748,0.005201480933465064,0.0025298240361735225,0.008844943949952722,glass
LOF,5,0.1,1.414213562373095,25,214,21,0.5,0.2743825466869329,0.004818696063011885,0.002683436032384634,0.008640669984742999,glass
LOF,5,0.1,1.414213562373095,26,214,21,0.5,0.28200135907627355,0.004647852969355881,0.0024581949692219496,0.008270533988252282,glass
LOF,5,0.1,1.414213562373095,27,214,21,0.5,0.050344220546047896,0.004834427963942289,0.002879107021726668,0.00962134508881718,glass
LOF,5,0.1,1.414213562373095,28,214,21,0.5,0.6469633338943257,0.004518472007475793,0.002565070055425167,0.008243557997047901,glass
LOF,5,0.1,1.414213562373095,29,214,21,0.5,0.3573749942210839,0.00477986503392458,0.0028693029889836907,0.009043609956279397,glass
LOF,5,0.2,1.0,0,214,42,0.5,0.45288064176322823,0.004665791988372803,0.002624005079269409,0.008428653003647923,glass
LOF,5,0.2,1.0,1,214,42,0.25,0.4243138475282436,0.004877767991274595,0.002790485043078661,0.0089180109789595,glass
LOF,5,0.2,1.0,2,214,42,0.25,0.5395680577975412,0.0046650279546156526,0.0025746739702299237,0.008368669892661273,glass
LOF,5,0.2,1.0,3,214,42,0.75,0.5030799305792484,0.0048331019934266806,0.0028458869783207774,0.008898773929104209,glass
LOF,5,0.2,1.0,4,214,42,0.75,0.37333873704434184,0.00468840601388365,0.0027481209253892303,0.008686471031978726,glass
LOF,5,0.2,1.0,5,214,42,0.5,0.5802974548748439,0.004621246014721692,0.002673893002793193,0.008376036072149873,glass
LOF,5,0.2,1.0,6,214,42,0.25,0.6295350858782611,0.004659826983697712,0.0028622059617191553,0.008815902983769774,glass
LOF,5,0.2,1.0,7,214,42,0.75,0.6478201967084593,0.0044229100458323956,0.0026267959037795663,0.008157033007591963,glass
LOF,5,0.2,1.0,8,214,42,0.5,0.3840136573996169,0.004401211976073682,0.002561496919952333,0.008133974042721093,glass
LOF,5,0.2,1.0,9,214,42,0.25,0.627112474880898,0.004613072029314935,0.0027015809901058674,0.008641054038889706,glass
LOF,5,0.2,1.0,10,214,42,0.25,0.641841242068309,0.004535246989689767,0.002567565068602562,0.008186326012946665,glass
